,2,3,7
156,Software Developer,Sortable,Kitchener
157,3D Interaction & Motion Designer,Spatial Systems,New York
158,Unity 3D Augmented Reality / Virtual Reality Developer,Spatial Systems,New York
159,Software Intern,SpotOn Computing,San Francisco
160,Full Stack Software Developer,Sprout,Toronto
161,UX/UI Designer,Sprout,Toronto
162,QA Test Engineering,Sprout,Toronto
163,Associate - Software Engineering,SPS Commerce Inc,Brampton
164,Software Engineering Intern,Square Inc,Kitchener
165,Software Engineering Intern,Square Inc,San Francisco
166,JS Developer,SSIMWAVE INC.,Waterloo
167,Front-End Engineering Intern,StackAdapt,Toronto
168,Software Engineering,StackAdapt,Toronto
169,Software Engineering / Unity Developer,State Space Labs,New York
170,Front-End Software Engineering,SugarCRM Inc,Cupertino
171,Front-End Software Engineering (NC),SugarCRM Inc,Durham
172,Social Capital Fellow: Software Engineering at Swing Education,Swing Education,San Mateo
173,Software Engineering - Web Application Firewall,Symantec Corp,Waterloo
174,User Experience Design Co-Op,Synaptive Medical,Toronto
175,Systems Engineering Co-op,Synaptive Medical,Toronto
176,MES / SCADA Programmer,Synchro Engineering Limited,Niagara Falls
177,Quality Engineering,Syndesus,Toronto
178,Software Engineering - Seattle,Tableau Software,Seattle
179,Software Engineering - Palo Alto,Tableau Software,Palo Alto
180,Software Engineering - Vancouver,Tableau Software,"Junior, Intermediate, Senior"
181,Software Engineering,Takara Gaming Solutions Limited,Tsim Sha Tsui East
182,Software Developer,Tangam Systems Inc,Waterloo
183,SDK Engineering,Taplytics,Toronto
184,Web Application Engineering,Taplytics,Toronto
185,QA Engineer,Taplytics,Toronto
186,Enterprise Enabling Technology Solutions Developer,TD Bank Group,Toronto
187,QA/Tester,TD Bank Group,"Junior, Intermediate, Senior"
188,Software / Engineering Development,Teledyne DALSA,Waterloo
189,Research & Development (New Image Sensor Tech),Teledyne DALSA,Waterloo
190,Technology Strategy: Engineering,TELUS Communications Company,Scarborough
191,Programmer Analyst I-THFS,TELUS Corporation,Mississauga
192,Software Developer in Test,TELUS Health,Cambridge
193,Software/Firmware Engineering - Deep Learning Processor,Tenstorrent,Toronto
194,Frontend Developer,Terrene,Kitchener
195,Software QA Engineering Internship,Tesla Motors,Palo Alto
196,"Software Engineering Internship, Embedded Systems",Tesla Motors,Palo Alto
197,"Software Engineering Internship - Backend, Frontend, UI",Tesla Motors,Palo Alto
198,Software Developer,Texas Instruments Inc,Toronto
199,Software Analyst Coop,Thales Canada,Toronto
200,Software Analyst Coop,Thales Canada,Toronto
201,Software Analyst Coop,Thales Canada,Toronto
